5.00	1.10647	1.10643
5.05	1.10642	1.10651
5.10	1.10654	1.10643
5.15	1.10644	1.10661
5.20	1.1066	1.10661
5.25	1.1066	1.10657
5.30	1.10656	1.10657
5.35	1.10658	1.10659
5.40	1.10658	1.10657
5.45	1.10656	1.10663
5.50	1.10662	1.10659
5.55	1.1066	1.10658
6.00	1.10659	1.10666
6.05	1.10665	1.10666
6.10	1.10667	1.10671
6.15	1.1067	1.10667
6.20	1.10666	1.1066
6.25	1.10659	1.10667
6.30	1.10668	1.10664
6.35	1.10663	1.10666
6.40	1.10665	1.10661
6.45	1.10662	1.1066
6.50	1.10661	1.10663
6.55	1.10662	1.10692
7.00	1.10691	1.10697
7.05	1.10698	1.10718
7.10	1.10717	1.10722
7.15	1.10724	1.10703
7.20	1.10702	1.10685
7.25	1.10687	1.10675
7.30	1.10674	1.10683
7.35	1.10684	1.1068
7.40	1.10681	1.1068
7.45	1.10679	1.10694
7.50	1.10696	1.10686
7.55	1.10685	1.10696
8.00	1.10695	1.10701
8.05	1.10702	1.10701
8.10	1.107	1.10698
8.15	1.10697	1.10713
8.20	1.10712	1.10726
8.25	1.10725	1.10725
8.30	1.10724	1.10722
8.35	1.10721	1.10719
8.40	1.10723	1.10721
8.45	1.1072	1.10717
8.50	1.10716	1.10722
8.55	1.10721	1.10711
9.00	1.10713	1.10702
9.05	1.10707	1.10741
9.10	1.10739	1.10787
9.15	1.10788	1.10795
9.20	1.10794	1.1081
9.25	1.10809	1.10848
9.30	1.10849	1.10875
9.35	1.10876	1.1088
9.40	1.10881	1.10871
9.45	1.1087	1.10892
9.50	1.10891	1.10914
9.55	1.10917	1.10984
10.00	1.10983	1.11021
10.05	1.11022	1.11068
10.10	1.1107	1.11116
10.15	1.11117	1.11067
10.20	1.11066	1.11069
10.25	1.1107	1.11057
10.30	1.11058	1.11038
10.35	1.11039	1.11002
10.40	1.11001	1.10993
10.45	1.10992	1.10982
10.50	1.10981	1.10967
10.55	1.10968	1.10964
11.00	1.10963	1.10909
11.05	1.1091	1.10906
11.10	1.10905	1.10922
11.15	1.10919	1.10892
11.20	1.10891	1.10856
11.25	1.10855	1.10817
11.30	1.10818	1.10885
11.35	1.10884	1.10995
11.40	1.10996	1.10982
11.45	1.10984	1.1099
11.50	1.10989	1.10946
11.55	1.10947	1.10943
12.00	1.10945	1.10961
12.05	1.1096	1.10975
12.10	1.10974	1.10971
12.15	1.1097	1.10955
12.20	1.10954	1.11012
12.25	1.11011	1.11026
12.30	1.11028	1.11057
12.35	1.11056	1.11038
12.40	1.11037	1.11065
12.45	1.11066	1.11051
12.50	1.1105	1.11039
12.55	1.11038	1.11031
13.00	1.11032	1.11065
13.05	1.11066	1.1107
13.10	1.11072	1.1107
13.15	1.11072	1.11012
13.20	1.11011	1.11014
13.25	1.11013	1.11016
13.30	1.11015	1.11013
13.35	1.11015	1.11036
13.40	1.11035	1.10985
13.45	1.10986	1.10965
13.50	1.10964	1.10955
13.55	1.10956	1.1093
14.00	1.10931	1.10962
14.05	1.10961	1.1099
14.10	1.10991	1.11012
14.15	1.11011	1.11012
14.20	1.11013	1.11027
14.25	1.11025	1.11005
14.30	1.11006	1.11005
14.35	1.11006	1.11047
14.40	1.11049	1.11047
14.45	1.11049	1.11054
14.50	1.11055	1.11078
14.55	1.11077	1.11044
15.00	1.11043	1.1104
15.05	1.11041	1.11018
15.10	1.11017	1.10972
15.15	1.10971	1.1093
15.20	1.10925	1.10929
15.25	1.10927	1.10945
15.30	1.10944	1.10881
15.35	1.1088	1.10817
15.40	1.10818	1.10804
15.45	1.10824	1.10827
15.50	1.1083	1.10877
15.55	1.10876	1.10882
